4.49948    14.0843
4.49528    14.033
4.4869    13.9308
4.47433    13.7786
4.4576    13.5774
4.43671    13.3289
4.4117    13.0349
4.38257    12.6976
4.34937    12.3196
4.31212    11.9037
4.27086    11.4531
4.22564    10.9711
4.17649    10.4611
4.12346    9.92706
4.06662    9.37267
4.006    8.80194
3.94168    8.21889
3.87372    7.62757
3.80218    7.03205
3.72714    6.43634
3.64866    5.84442
3.56683    5.26014
3.48173    4.68725
3.39343    4.12934
3.30204    3.58982
3.20763    3.07191
3.1103    2.57862
3.01015    2.1127
2.90728    1.67669
2.80179    1.27285
2.69377    0.903178
2.58335    0.569396
2.47062    0.272962
2.3557    0.0150517
2.2387    -0.203427
2.11974    -0.381837
1.99894    -0.519803
1.8764    -0.6172
1.75227    -0.674146
1.62665    -0.690995
1.49967    -0.668312
1.37146    -0.606872
1.24214    -0.507634
1.11185    -0.371734
0.980699    -0.200461
0.84883    0.00475281
0.716371    0.242351
0.583451    0.510673
0.450202    0.807965
0.316756    1.1324
0.183244    1.48209
0.0497978    1.8551
-0.0834508    2.24947
-0.216371    2.66323
-0.34883    3.09439
-0.480699    3.54097
-0.611846    4.00102
-0.742143    4.47262
-0.87146    4.95387
-0.999672    5.44293
-1.12665    5.93799
-1.25227    6.43734
-1.3764    6.9393
-1.49894    7.44226
-1.61974    7.94468
-1.7387    8.44512
-1.8557    8.94218
-1.97062    9.43456
-2.08335    9.92102
-2.19377    10.4004
-2.30179    10.8717
-2.40728    11.3337
-2.51015    11.7857
-2.6103    12.2268
-2.70763    12.6561
-2.80204    13.073
-2.89343    13.4767
-2.98173    13.8667
-3.06683    14.2424
-3.14866    14.6034
-3.22714    14.9491
-3.30218    15.2793
-3.37372    15.5935
-3.44168    15.8915
-3.506    16.173
-3.56662    16.4376
-3.62346    16.6854
-3.67649    16.916
-3.72564    17.1293
-3.77086    17.3252
-3.81212    17.5035
-3.84937    17.6643
-3.88257    17.8073
-3.9117    17.9326
-3.93671    18.04
-3.9576    18.1296
-3.97433    18.2014
-3.9869    18.2552
-3.99528    18.291
-3.99948    18.309
